iter	Passed	Remaining
0	148	74024
1	206	51343
2	265	44044
3	324	40228
4	373	36936
5	434	35813
6	490	34562
7	551	33938
8	615	33597
9	691	33905
10	755	33570
11	815	33174
12	888	33281
13	961	33389
14	1025	33160
15	1082	32754
16	1140	32398
17	1212	32480
18	1279	32391
19	1343	32248
20	1408	32126
21	1476	32080
22	1541	31977
23	1601	31764
24	1661	31575
25	1715	31280
26	1775	31103
27	1833	30914
28	1912	31062
29	1964	30775
30	2017	30522
31	2093	30616
32	2158	30551
33	2217	30395
34	2272	30185
35	2327	29995
36	2390	29910
37	2450	29787
38	2517	29756
39	2576	29624
40	2633	29484
41	2696	29405
42	2758	29320
43	2812	29145
44	2878	29101
45	2935	28975
46	2998	28902
47	3066	28873
48	3127	28787
49	3191	28719
50	3278	28863
51	3346	28830
52	3418	28829
53	3491	28839
54	3570	28888
55	3644	28895
56	3706	28803
57	3772	28746
58	3834	28664
59	3895	28566
60	3922	28229
61	3978	28104
62	4039	28020
63	4090	27865
64	4141	27714
65	4195	27590
66	4248	27458
67	4312	27400
68	4371	27303
69	4440	27279
70	4507	27236
71	4543	27009
72	4593	26867
73	4653	26788
74	4715	26721
75	4774	26633
76	4834	26556
77	4895	26488
78	4954	26405
79	5017	26341
80	5070	26228
81	5132	26161
82	5191	26082
83	5251	26005
84	5317	25961
85	5382	25908
86	5444	25845
87	5520	25847
88	5586	25800
89	5650	25742
90	5725	25734
91	5785	25656
92	5861	25650
93	5918	25562
94	5988	25529
95	6084	25607
96	6158	25585
97	6246	25625
98	6322	25607
99	6384	25538
100	6443	25455
101	6504	25379
102	6580	25364
103	6640	25285
104	6709	25240
105	6765	25147
106	6847	25150
107	6918	25112
108	6975	25021
109	7033	24935
110	7096	24869
111	7158	24799
112	7228	24756
113	7288	24678
114	7347	24596
115	7406	24517
116	7469	24450
117	7536	24396
118	7590	24303
119	7652	24233
120	7708	24146
121	7771	24079
122	7831	24005
123	7891	23929
124	7953	23861
125	8007	23769
126	8071	23705
127	8132	23634
128	8196	23571
129	8259	23507
130	8330	23464
131	8400	23419
132	8458	23340
133	8519	23268
134	8593	23234
135	8649	23150
136	8716	23096
137	8773	23014
138	8834	22945
139	8899	22885
140	8958	22809
141	9012	22721
142	9076	22660
143	9135	22584
144	9216	22563
145	9279	22499
146	9343	22436
147	9405	22369
148	9474	22318
149	9532	22241
150	9587	22158
151	9641	22074
152	9699	21997
153	9756	21920
154	9818	21854
155	9885	21798
156	9937	21710
157	10013	21674
158	10073	21603
159	10135	21537
160	10191	21458
161	10258	21402
162	10309	21314
163	10366	21237
164	10428	21173
165	10493	21113
166	10549	21036
167	10599	20947
168	10655	20869
169	10717	20804
170	10778	20736
171	10837	20666
172	10898	20599
173	10945	20507
174	11019	20464
175	11118	20467
176	11182	20405
177	11227	20311
178	11285	20238
179	11347	20173
180	11407	20104
181	11462	20027
182	11519	19954
183	11575	19878
184	11632	19806
185	11692	19739
186	11751	19669
187	11817	19611
188	11869	19531
189	11938	19478
190	11991	19400
191	12053	19336
192	12123	19284
193	12187	19223
194	12257	19171
195	12329	19122
196	12382	19044
197	12451	18991
198	12517	18934
199	12582	18874
200	12647	18814
201	12717	18761
202	12780	18698
203	12843	18635
204	12897	18560
205	12954	18488
206	13016	18423
207	13079	18361
208	13151	18311
209	13238	18281
210	13295	18210
211	13356	18144
212	13413	18074
213	13471	18004
214	13526	17930
215	13585	17861
216	13641	17789
217	13720	17749
218	13783	17685
219	13837	17611
220	13902	17550
221	13976	17501
222	14029	17426
223	14095	17368
224	14162	17309
225	14224	17245
226	14289	17185
227	14363	17135
228	14410	17053
229	14464	16979
230	14538	16929
231	14605	16872
232	14662	16801
233	14725	16738
234	14795	16683
235	14850	16612
236	14907	16542
237	14978	16489
238	15043	16428
239	15110	16369
240	15174	16307
241	15231	16238
242	15290	16171
243	15357	16112
244	15425	16055
245	15494	15998
246	15553	15931
247	15612	15864
248	15676	15802
249	15734	15734
250	15797	15671
251	15851	15600
252	15919	15542
253	15980	15477
254	16034	15405
255	16090	15336
256	16154	15274
257	16212	15206
258	16267	15136
259	16317	15061
260	16373	14993
261	16431	14926
262	16487	14857
263	16540	14786
264	16596	14717
265	16648	14645
266	16706	14579
267	16761	14510
268	16818	14442
269	16874	14374
270	16930	14306
271	16988	14240
272	17047	14175
273	17109	14112
274	17164	14043
275	17218	13974
276	17279	13910
277	17335	13843
278	17386	13772
279	17452	13712
280	17510	13646
281	17566	13580
282	17623	13513
283	17681	13447
284	17743	13385
285	17798	13318
286	17860	13255
287	17924	13194
288	17972	13121
289	18029	13056
290	18082	12987
291	18149	12928
292	18202	12859
293	18269	12801
294	18323	12733
295	18372	12661
296	18433	12599
297	18487	12531
298	18534	12459
299	18596	12397
300	18651	12330
301	18714	12270
302	18765	12200
303	18827	12138
304	18881	12071
305	18936	12005
306	18983	11934
307	19032	11864
308	19094	11802
309	19148	11735
310	19206	11672
311	19257	11604
312	19303	11532
313	19353	11464
314	19418	11404
315	19485	11345
316	19556	11289
317	19612	11224
318	19666	11158
319	19726	11096
320	19794	11038
321	19842	10968
322	19908	10909
323	19963	10844
324	20025	10782
325	20088	10722
326	20143	10656
327	20210	10597
328	20264	10532
329	20317	10466
330	20373	10402
331	20435	10340
332	20496	10279
333	20565	10221
334	20631	10161
335	20683	10095
336	20743	10033
337	20806	9972
338	20876	9914
339	20923	9846
340	20988	9786
341	21045	9722
342	21131	9672
343	21186	9607
344	21241	9543
345	21315	9487
346	21377	9425
347	21466	9376
348	21540	9319
349	21614	9263
350	21677	9202
351	21757	9148
352	21819	9086
353	21883	9025
354	21947	8964
355	22026	8909
356	22089	8848
357	22148	8785
358	22211	8723
359	22277	8663
360	22332	8598
361	22396	8537
362	22461	8477
363	22522	8415
364	22578	8351
365	22640	8289
366	22698	8225
367	22760	8164
368	22814	8099
369	22873	8036
370	22939	7976
371	22999	7913
372	23071	7855
373	23126	7791
374	23195	7731
375	23261	7671
376	23321	7608
377	23381	7546
378	23444	7484
379	23506	7423
380	23576	7363
381	23641	7302
382	23702	7240
383	23765	7179
384	23823	7116
385	23875	7051
386	23925	6985
387	23978	6921
388	24042	6860
389	24092	6795
390	24148	6731
391	24201	6667
392	24248	6601
393	24298	6537
394	24354	6473
395	24413	6411
396	24469	6348
397	24530	6286
398	24582	6222
399	24637	6159
400	24685	6094
401	24737	6030
402	24790	5966
403	24852	5905
404	24914	5844
405	24970	5781
406	25025	5718
407	25084	5656
408	25139	5593
409	25199	5531
410	25256	5469
411	25307	5405
412	25366	5343
413	25417	5280
414	25472	5217
415	25533	5155
416	25586	5092
417	25640	5030
418	25703	4968
419	25755	4905
420	25810	4843
421	25865	4780
422	25919	4718
423	25973	4655
424	26027	4593
425	26083	4530
426	26150	4470
427	26209	4409
428	26261	4346
429	26309	4283
430	26360	4220
431	26414	4157
432	26462	4094
433	26510	4031
434	26559	3968
435	26619	3907
436	26673	3845
437	26734	3784
438	26789	3722
439	26855	3662
440	26910	3600
441	26971	3539
442	27031	3478
443	27105	3418
444	27170	3358
445	27230	3297
446	27277	3234
447	27334	3172
448	27392	3111
449	27455	3050
450	27517	2989
451	27604	2931
452	27673	2871
453	27729	2809
454	27789	2748
455	27849	2687
456	27912	2626
