iter	MultiClass
0	1.030986572
1	0.9711403822
2	0.9200721888
3	0.8783079167
4	0.8416807166
5	0.8087380022
6	0.7789050332
7	0.7515056268
8	0.7276896526
9	0.7072726178
10	0.6901418808
11	0.6722158561
12	0.6576973302
13	0.6439948594
14	0.6304806275
15	0.6198404756
16	0.6091116654
17	0.5980062384
18	0.5876855495
19	0.5793253802
20	0.5708934318
21	0.5621597478
22	0.5547401896
23	0.5481531353
24	0.5408549272
25	0.5336816133
26	0.5273225064
27	0.5215126709
28	0.5174894115
29	0.5127514571
30	0.507800576
31	0.5031697225
32	0.4996919522
33	0.4969541108
34	0.4933076294
35	0.490371784
36	0.4875843751
37	0.4849104541
38	0.482638709
39	0.4801653625
40	0.4781425453
41	0.4756018428
42	0.4734135318
43	0.4713249665
44	0.4692342416
45	0.4670459024
46	0.4649041567
47	0.4628761449
48	0.460648366
49	0.4591174607
50	0.4562521284
51	0.4550666869
52	0.453256117
53	0.4509373422
54	0.4492270666
55	0.447285994
56	0.4461747576
57	0.4446966808
58	0.4431693782
59	0.4417923169
60	0.4401996375
61	0.438615193
62	0.436982443
63	0.4357202827
64	0.4343203434
65	0.4329633016
66	0.4309600012
67	0.4297048321
68	0.4285146334
69	0.4269786055
70	0.4258960786
71	0.4246033177
72	0.4233030911
73	0.4224261699
74	0.421286991
75	0.4204503454
76	0.4192617623
77	0.4183779066
78	0.4170826296
79	0.4162455902
80	0.415586165
81	0.4146149271
82	0.4136562431
83	0.4131399578
84	0.4124619042
85	0.4117616482
86	0.41085146
87	0.4100297623
88	0.4096976149
89	0.4085553974
90	0.4071527881
91	0.4050909269
92	0.4044858447
93	0.4035749643
94	0.402630487
95	0.4016308705
96	0.400740561
97	0.3998164068
98	0.3985137165
99	0.3974471309
100	0.3961964406
101	0.395919649
102	0.3955149573
103	0.3946480901
104	0.3932497156
105	0.3926338608
106	0.392163067
107	0.3915096388
108	0.3898945385
109	0.3892452621
110	0.3882710246
111	0.3874861905
112	0.3868852606
113	0.3862015641
114	0.3848671461
115	0.3842759556
116	0.3830762704
117	0.3825848301
118	0.3821740859
119	0.3819016362
120	0.3814475553
121	0.3807431866
122	0.3793352618
123	0.3786152325
124	0.3774859604
125	0.3767991608
126	0.3761982542
127	0.3751036695
128	0.3739744106
129	0.3731396699
130	0.372541595
131	0.371651232
132	0.3712787575
133	0.3706719693
134	0.3701834327
135	0.3697803324
136	0.3686709827
137	0.3681791513
138	0.3675747786
139	0.3670773433
140	0.3667440028
141	0.3659372468
142	0.3648275848
143	0.364420856
144	0.3639530691
145	0.3631026304
146	0.3625602723
147	0.3617925847
148	0.361070448
149	0.3606345092
150	0.3602346233
151	0.359274745
152	0.3587956325
153	0.3580181724
154	0.3575177177
155	0.3564858136
156	0.3559908792
157	0.355287759
158	0.3546943543
159	0.3539311484
160	0.353427538
161	0.352859761
162	0.3518526947
163	0.3513211452
164	0.350823002
165	0.3505094684
166	0.3497420073
167	0.3493134688
168	0.3484836425
169	0.347785926
170	0.3475355381
171	0.3472552983
172	0.3467450364
173	0.346394909
174	0.3457854839
175	0.345318115
176	0.344951886
177	0.3445198396
178	0.3438706668
179	0.3434345798
180	0.3424153158
181	0.3419622344
182	0.3413004035
183	0.3409156939
184	0.3403571541
185	0.3397565936
186	0.3394520109
187	0.3392461323
188	0.3388232935
189	0.3379582704
190	0.3371518215
191	0.3369183172
192	0.3365267616
193	0.3360470441
194	0.3352348729
195	0.3349386071
196	0.3342105245
197	0.3334039861
198	0.3328710014
199	0.3324415337
200	0.3319224447
201	0.3311774827
202	0.3308076006
203	0.3303469339
204	0.3298769177
205	0.3292495268
206	0.3287056696
207	0.328453944
208	0.3278531656
209	0.3272494704
210	0.3269435978
211	0.3263649285
212	0.3258607242
213	0.3251821118
214	0.3247240875
215	0.3243840478
216	0.3237229084
217	0.3235479654
218	0.3229695079
219	0.322740524
220	0.3220502184
221	0.321664161
222	0.3212780707
223	0.3210568755
224	0.3207751159
225	0.3205775128
226	0.3203617469
227	0.3196291368
228	0.3192890985
229	0.319066628
230	0.318817682
231	0.3182414022
232	0.3178715558
233	0.317465838
234	0.3171875268
235	0.3167737315
236	0.3163955033
237	0.315791646
238	0.3154458365
239	0.3151558154
240	0.3148777217
241	0.31463688
242	0.3141974636
243	0.3133944533
244	0.3131117787
245	0.3125956396
246	0.3122891629
247	0.3116270948
248	0.3109881822
249	0.3107459416
250	0.3101924421
251	0.3096790749
252	0.3095333946
253	0.3090797234
254	0.3086702375
255	0.3083843382
256	0.3080788505
257	0.3076391672
258	0.3074094347
259	0.3070007557
260	0.3065771367
261	0.3059671572
262	0.3057579575
263	0.3054524607
264	0.3051563742
265	0.304931905
266	0.3045273637
267	0.3042480167
268	0.3039194709
269	0.3036718112
270	0.30327859
271	0.3026835346
272	0.3022045902
273	0.3015870687
274	0.3014148696
275	0.3009520572
276	0.3007273925
277	0.3003467858
278	0.3001273142
279	0.2998753836
280	0.2994447943
281	0.2992913224
282	0.2990158403
283	0.2987060638
284	0.2985779229
285	0.298123379
286	0.2978248572
287	0.2975434527
288	0.2971360313
289	0.2967749088
290	0.2963620858
291	0.2960756613
292	0.2955291874
293	0.2952841583
294	0.2950411617
295	0.2947261137
296	0.2945036558
297	0.2941100437
298	0.2936038262
299	0.293346212
300	0.2927763825
301	0.2925395454
302	0.2923834182
303	0.2921680518
304	0.2917292357
305	0.2913986442
306	0.2910410818
307	0.2908064482
308	0.2902260897
309	0.2899997219
310	0.2897261917
311	0.2892973548
312	0.2890192091
313	0.2887816899
314	0.2881945881
315	0.2879445982
316	0.2876787197
317	0.2874855931
318	0.2873978174
319	0.2869270173
320	0.2866920276
321	0.2865603064
322	0.2859658799
323	0.2855701311
