brand,milage,fuel_type,transmission,accident,clean_title,price,Age,price_category,Horsepower,Engine_Displacement,base_model
14,51000.0,1,1,1,1,10300.0,11,0,300.0,3.7,211
19,34742.0,3,1,1,1,38005.0,3,1,332.2838386995936,3.8,247
27,22372.0,3,1,0,0,54598.0,2,2,332.2838386995936,3.5,321
20,88900.0,4,1,0,1,15500.0,9,0,354.0,3.5,259
3,9835.0,3,1,0,0,34999.0,3,1,332.2838386995936,2.0,20
0,136397.0,3,3,0,0,14798.0,8,0,332.2838386995936,2.4,0
3,84000.0,3,1,0,1,31000.0,7,1,292.0,2.0,27
27,23436.0,3,1,0,1,41927.0,3,1,311.0,3.5,320
26,27608.0,3,1,0,0,73897.0,3,2,332.2838386995936,0.0,308
53,12500.0,3,1,0,1,53500.0,3,2,382.0,3.0,489
28,18196.0,3,1,0,1,62000.0,2,2,400.0,3.0,323
21,15903.0,3,1,0,0,47998.0,4,1,332.2838386995936,2.0,270
26,79800.0,3,1,0,1,29990.0,11,1,375.0,5.0,308
36,1685.0,3,1,0,1,250000.0,3,2,332.2838386995936,2.0,388
11,61074.0,3,1,0,1,16800.0,11,0,305.0,3.6,161
16,5400.0,3,1,0,0,60000.0,1,2,375.0,3.5,223
4,25990.0,3,1,0,0,38598.0,4,1,332.2838386995936,3.0,55
14,2823.0,3,1,0,1,58504.0,1,2,332.2838386995936,3.5,194
9,52000.0,3,1,0,1,61000.0,3,2,355.0,5.3,146
19,11650.0,3,1,0,1,32300.0,2,1,276.0,2.0,242
39,96541.0,3,1,0,0,13998.0,8,0,332.2838386995936,1.8,423
36,17500.0,3,1,0,1,59995.0,3,2,382.0,2.0,368
4,69000.0,3,1,0,1,25700.0,9,1,445.0,4.4,64
3,81880.0,1,1,0,1,21375.0,7,1,332.2838386995936,2.0,22
36,28800.0,3,1,0,1,48000.0,6,1,362.0,3.0,368
4,35035.0,4,1,0,0,24998.0,4,1,332.2838386995936,0.0,92
24,171000.0,3,1,0,1,5999.0,13,0,276.0,3.5,299
27,118700.0,3,1,0,1,46900.0,8,1,383.0,5.7,318
22,119000.0,3,1,0,1,15900.0,7,0,180.0,2.4,285
4,44261.0,3,1,0,0,33598.0,6,1,332.2838386995936,3.0,51
3,125575.0,3,1,0,1,8999.0,12,0,211.0,2.0,15
19,16200.0,3,1,0,1,8200.0,17,0,173.0,2.7,250
4,70000.0,3,1,1,1,20000.0,10,1,240.0,2.0,91
17,2978.0,3,1,0,0,45498.0,1,1,332.2838386995936,3.5,234
11,189719.0,0,1,1,1,14000.0,17,0,332.2838386995936,3.0,169
4,9949.0,3,1,0,0,75798.0,5,2,332.2838386995936,4.4,82
3,54000.0,3,1,1,1,36880.0,12,1,310.0,3.0,18
9,51351.0,3,1,0,1,43147.0,3,1,332.2838386995936,5.3,144
31,24280.0,3,1,1,1,29000.0,7,1,228.0,2.0,340
53,89148.0,3,1,0,1,17500.0,8,0,268.0,3.5,473
43,73043.0,3,1,0,1,30990.0,7,1,300.0,3.6,439
17,73549.0,3,3,1,0,20848.0,8,1,332.2838386995936,2.4,226
18,110900.0,3,1,0,1,19500.0,19,0,325.0,6.0,239
43,39000.0,3,1,0,1,73000.0,11,2,400.0,3.8,436
36,120000.0,3,1,0,1,19800.0,8,0,208.0,2.0,370
10,134602.0,3,1,0,1,7500.0,15,0,250.0,3.5,152
39,1094.0,3,3,0,0,30999.0,1,1,332.2838386995936,1.5,422
3,83500.0,3,1,0,1,6500.0,14,0,200.0,2.0,14
14,37060.0,3,2,0,1,28500.0,10,1,420.0,5.0,203
0,97700.0,3,1,0,1,10995.0,14,0,300.0,3.7,5
55,40000.0,5,1,0,1,42000.0,6,1,400.0,2.0,523
3,8940.0,3,1,0,0,144900.0,6,2,332.2838386995936,5.2,25
36,186000.0,3,1,1,1,10000.0,10,0,302.0,3.5,384
53,13180.0,3,3,0,0,23998.0,3,1,332.2838386995936,2.0,474
27,104000.0,3,1,0,1,21000.0,10,1,306.0,3.5,314
4,8500.0,4,1,0,1,67900.0,1,2,382.0,3.0,86
4,19069.0,3,1,0,0,69998.0,5,2,332.2838386995936,3.0,75
8,6090.0,3,1,0,1,46900.0,1,1,237.0,2.0,111
3,47523.0,3,1,0,1,31000.0,5,1,248.0,2.0,16
10,43000.0,3,1,1,1,19995.0,18,0,425.0,6.1,153
4,57800.0,3,1,0,1,55999.0,5,2,425.0,3.0,75
