iter	RMSE
0	0.3084947651
1	0.2995212636
2	0.2911995506
3	0.2831848933
4	0.2753664077
5	0.2679988886
6	0.2607393469
7	0.2539908398
8	0.2480244364
9	0.2418488782
10	0.2362141488
11	0.2309913068
12	0.2257295164
13	0.2209005542
14	0.2165191227
15	0.2119833634
16	0.2079494484
17	0.2042289929
18	0.2010441228
19	0.1978814614
20	0.1947763092
21	0.1918735573
22	0.1889012286
23	0.1860030994
24	0.1835671466
25	0.1813123587
26	0.1790758331
27	0.1769927484
28	0.1747815858
29	0.1727567949
30	0.1708577921
31	0.169059338
32	0.1676022579
33	0.165908894
34	0.1642641833
35	0.1628261711
36	0.1616793914
37	0.160456447
38	0.159015816
39	0.1578834426
40	0.1569929713
41	0.1560389745
42	0.1545747006
43	0.1535470064
44	0.1524762635
45	0.1517039491
46	0.150953049
47	0.1500603491
48	0.1494132613
49	0.1485081366
50	0.1478814045
51	0.1470031715
52	0.1463690676
53	0.1455031709
54	0.1449815693
55	0.1444921275
56	0.1440308931
57	0.1435733795
58	0.1427014791
59	0.1422574259
60	0.14170897
61	0.1412823671
62	0.1408823157
63	0.1401190926
64	0.1395623834
65	0.1391494479
66	0.1384679358
67	0.1374258964
68	0.1367753128
69	0.1364948179
70	0.1362040401
71	0.1354125904
72	0.1349747125
73	0.1346329421
74	0.1342925656
75	0.1340149222
76	0.1337727176
77	0.1334586591
78	0.1332074252
79	0.1330224388
80	0.1328189381
81	0.1323652832
82	0.1321171248
83	0.1316091433
84	0.1314005589
85	0.1305985285
86	0.1303629203
87	0.1297737882
88	0.1294324837
89	0.1292675652
90	0.1288359864
91	0.1286812103
92	0.1285438062
93	0.1281581477
94	0.1280254264
95	0.1277358621
96	0.1273117065
97	0.1269655164
98	0.1266188859
99	0.1263980147
100	0.1261925438
101	0.1260615855
102	0.1259363433
103	0.1258178978
104	0.1254234965
105	0.1252567778
106	0.1249933227
107	0.1249237155
108	0.1242065574
109	0.1239007334
110	0.1236450813
111	0.1235257193
112	0.1232060639
113	0.1230017242
114	0.1228764846
115	0.1227585119
116	0.1222713891
117	0.1218746181
118	0.1213822148
119	0.1211767735
120	0.1208899486
121	0.1201807089
122	0.1201182021
123	0.1200226266
124	0.1199474554
125	0.1197134827
126	0.1193018182
127	0.1191099228
128	0.1183593899
129	0.1180565214
130	0.1179418917
131	0.1177621239
132	0.1176950713
133	0.1175427402
134	0.1173018067
135	0.1171607719
136	0.1169481206
137	0.1168565467
138	0.1166634603
139	0.1165860523
140	0.1164641406
141	0.1162522761
142	0.1159449667
143	0.1158254161
144	0.115732441
145	0.1155994996
146	0.1154760014
147	0.1153143101
148	0.1152216008
149	0.1151225055
150	0.1149226299
151	0.1147526138
152	0.1146629069
153	0.1146027578
154	0.1142066487
155	0.1139114983
156	0.1137909085
157	0.1136284981
158	0.1135054912
159	0.1133257598
160	0.1131581564
161	0.1129685604
162	0.1128482348
163	0.1127142874
164	0.1125902387
165	0.1124615053
166	0.112304345
167	0.1121145435
168	0.1119958267
169	0.111936108
170	0.111838942
171	0.1116903269
172	0.111369003
173	0.111210718
174	0.1110790164
175	0.1109105766
176	0.1106659149
177	0.1104973781
178	0.1103220219
179	0.1101952884
180	0.1099697867
181	0.109900177
182	0.1096983947
183	0.1095602434
184	0.1094003752
185	0.1092451588
186	0.1090873945
187	0.1089188843
188	0.1088074325
189	0.1086800978
190	0.108599759
191	0.1084351587
192	0.1083030433
193	0.1082324988
194	0.1081439109
195	0.1080061577
196	0.107865949
197	0.1077452589
198	0.1075990022
199	0.1074122978
200	0.1070797734
201	0.1069450865
202	0.1068394337
203	0.1066480335
204	0.1065051386
205	0.1063772864
206	0.1062668181
207	0.1061756235
208	0.1060373045
209	0.1059060212
210	0.1058000064
211	0.1056443125
212	0.1055454146
213	0.1053967925
214	0.1052588519
215	0.1051638685
216	0.1050275633
217	0.1049370457
218	0.1048868921
219	0.1048254169
220	0.1046491878
221	0.1045624877
222	0.1044028732
223	0.1042797021
224	0.1041278819
225	0.1040077675
226	0.1038302914
227	0.1036472999
228	0.1035541843
229	0.1035002525
230	0.1033431765
231	0.1032620679
232	0.1031187079
233	0.1028775435
234	0.1027786033
235	0.1026309919
236	0.1025451352
237	0.1023974989
238	0.102262479
239	0.1021275467
240	0.101947779
241	0.1018235444
242	0.1017048924
243	0.1015068669
244	0.1013735721
245	0.1012757396
246	0.1012330415
247	0.1011369717
248	0.1010440784
249	0.1009779648
250	0.1008183296
251	0.100745728
252	0.1006200815
253	0.1004997838
254	0.1003550376
255	0.1002599807
256	0.1001523811
257	0.1000617741
258	0.09989628991
259	0.09973430028
260	0.09963909625
261	0.09948534105
262	0.09936477549
263	0.09926208765
264	0.09917089153
265	0.09905510326
266	0.09898096615
267	0.09894645836
268	0.09884933967
269	0.09874401874
270	0.09864270254
271	0.09848020624
272	0.09837097251
273	0.09825751348
274	0.09811523139
275	0.09808498828
276	0.0979500575
277	0.09781159138
278	0.09768593304
279	0.0975606449
280	0.0974603376
281	0.09737478776
282	0.09716044251
283	0.09709930618
284	0.09692840082
285	0.09680187711
286	0.09675135323
287	0.09665771355
288	0.09661879896
289	0.09653213542
290	0.09643185062
291	0.09633917863
292	0.09630401115
293	0.09621310493
294	0.09612299362
295	0.09611129447
296	0.09607521902
297	0.09596169381
298	0.09588704155
299	0.09580546561
300	0.09575469024
301	0.09565101233
302	0.09562534389
303	0.09551295426
304	0.09537966703
305	0.09526553387
306	0.09524902555
307	0.09511688871
308	0.09510645774
309	0.09506199898
310	0.09503746239
311	0.09496953234
312	0.09481644556
313	0.09473415163
314	0.09462755969
315	0.09459807133
316	0.09451745784
317	0.09433122738
318	0.09423630374
319	0.09412036748
320	0.09406472607
321	0.09399458417
322	0.09396164624
323	0.09385307234
324	0.0938096894
325	0.09374680691
326	0.09362757915
327	0.09356256253
328	0.0934256019
329	0.09340677704
330	0.09336702685
331	0.09322196871
332	0.09314644047
333	0.09305410793
334	0.09287608214
335	0.09282069559
336	0.09270725093
337	0.09262874714
338	0.09256431135
339	0.09253728626
340	0.0924506082
341	0.09237267796
342	0.09233717531
343	0.09225922694
344	0.09218544621
345	0.09211583356
346	0.09205839789
347	0.09198106641
348	0.09196886066
349	0.09188271889
350	0.09183040852
351	0.09179111242
352	0.09172768885
353	0.09159349707
354	0.09153511791
355	0.09142238571
356	0.09139290231
357	0.09137984155
358	0.09129928831
359	0.0912880623
360	0.09120011052
361	0.09115216253
362	0.09109751164
363	0.09107886929
364	0.09097832338
365	0.09087451159
366	0.090853773
367	0.09078773752
368	0.09072771322
369	0.09065880571
370	0.09055747894
371	0.09052154538
372	0.09045541401
373	0.09036873537
374	0.09030722296
375	0.09016760214
376	0.0901297349
377	0.09007610967
378	0.0899912007
379	0.08994161788
380	0.08988614739
381	0.08976654768
382	0.08972455937
383	0.08964464452
384	0.08952399862
385	0.0895147622
386	0.08942136222
387	0.0893423687
388	0.08924995878
389	0.08919005235
390	0.08910335067
391	0.08907837233
392	0.0890208261
393	0.08893881589
394	0.0888272339
395	0.08877095238
396	0.08875961738
397	0.08871442439
398	0.08869841221
399	0.08862281721
400	0.0885496175
401	0.0884897152
402	0.0883788255
403	0.08831671082
404	0.08825239255
405	0.08823145976
406	0.08817037273
407	0.08810172696
408	0.08806467516
409	0.08799198194
410	0.08784265014
411	0.08775005008
412	0.08767770714
413	0.08762068774
414	0.08756699944
415	0.08753439513
416	0.08746810447
417	0.08736350854
418	0.08727589014
419	0.08720714598
420	0.08714910421
421	0.08709942809
422	0.08705265536
423	0.08697948431
424	0.08688297297
425	0.0868274564
426	0.08675127012
427	0.08670307619
428	0.08661242699
429	0.08652447909
430	0.08647633035
431	0.0863984295
432	0.08634773104
433	0.08629172485
434	0.08628330701
435	0.08618599989
436	0.08614960757
437	0.08609646503
438	0.08602816385
439	0.08594714366
440	0.08589243878
441	0.08583118859
442	0.08580065359
443	0.0857577513
444	0.08569302239
445	0.0856572887
446	0.08559605408
447	0.08555344369
448	0.08547984156
449	0.08543013313
450	0.0853912761
451	0.08530696958
452	0.08526088633
453	0.08522004693
454	0.0851933898
455	0.08507729358
456	0.08500574537
457	0.08494796081
458	0.08490556191
459	0.08487586853
460	0.0848400754
461	0.08477238861
462	0.08475619663
463	0.08459817102
464	0.08455936197
465	0.08448705002
466	0.08443439179
467	0.08438552505
468	0.08432382676
469	0.08427661594
470	0.08424408761
471	0.0841640179
472	0.08409068221
473	0.08403352775
474	0.08399461894
475	0.08395708967
476	0.08388302371
477	0.08380264895
478	0.08376428312
479	0.08371723192
480	0.08371277511
481	0.08363701267
482	0.08356588683
483	0.08356140164
484	0.08348843945
485	0.08343241937
486	0.08335867045
487	0.08329207908
488	0.08320403116
489	0.08314134782
490	0.08308843739
491	0.0830240687
492	0.08299798349
493	0.08296666073
494	0.08294988997
495	0.08289288492
496	0.08284954793
497	0.08280838208
498	0.08274639518
499	0.08270910154
500	0.0826380128
501	0.08258059624
502	0.08251905055
503	0.0824674387
504	0.08243893669
505	0.0823729945
506	0.08230341272
507	0.08225123043
508	0.08224091194
509	0.08221490186
510	0.0821401857
511	0.08213484989
512	0.08204732207
513	0.08202136649
514	0.08194210112
515	0.081892233
516	0.08183768196
517	0.08182952695
518	0.08173844789
519	0.08167838605
520	0.08165846962
521	0.08164178794
522	0.08160308859
523	0.08155923115
524	0.0815337188
525	0.08151969958
526	0.08145324462
527	0.08141284429
528	0.08133621252
529	0.0812775821
530	0.08125595384
531	0.08120998107
532	0.0811516724
533	0.08108300225
534	0.08102271576
535	0.08100213658
536	0.08096173626
537	0.08094928258
538	0.0809207319
539	0.08083404387
540	0.08077330208
541	0.08073312467
542	0.08067149602
543	0.08060166498
544	0.08052914699
545	0.08045087528
546	0.08041766159
547	0.08039086009
548	0.08032870643
549	0.08030590788
550	0.08023050502
551	0.08020647083
552	0.08019159594
