iter	Passed	Remaining
0	1	1779
1	3	1544
2	4	1476
3	5	1454
4	7	1454
5	8	1431
6	9	1411
7	11	1389
8	12	1376
9	13	1363
10	15	1358
11	16	1349
12	17	1344
13	19	1343
14	20	1340
15	21	1336
16	23	1332
17	24	1326
18	25	1323
19	27	1323
20	28	1321
21	29	1322
22	31	1329
23	32	1330
24	33	1325
25	35	1325
26	36	1320
27	38	1321
28	39	1319
29	40	1319
30	42	1318
31	43	1315
32	45	1332
33	48	1380
34	50	1392
35	52	1397
36	53	1398
37	55	1404
38	57	1425
39	59	1431
40	61	1430
41	63	1441
42	65	1449
43	66	1444
44	67	1440
45	70	1456
46	72	1460
47	73	1457
48	75	1461
49	76	1457
50	78	1456
51	79	1451
52	80	1446
53	82	1441
54	83	1436
55	84	1432
56	86	1436
57	88	1431
58	89	1425
59	90	1423
60	92	1420
61	93	1415
62	94	1409
63	95	1403
64	97	1399
65	98	1393
66	99	1387
67	100	1380
68	101	1375
69	103	1370
70	104	1366
71	105	1362
72	107	1361
73	108	1361
74	110	1360
75	111	1357
76	112	1353
77	114	1352
78	115	1348
79	116	1344
80	118	1340
81	119	1339
82	120	1336
83	122	1332
84	123	1327
85	124	1325
86	125	1321
87	127	1317
88	128	1312
89	129	1308
90	130	1305
91	131	1301
92	132	1296
93	134	1292
94	135	1290
95	136	1286
96	137	1283
97	139	1279
98	140	1277
99	141	1274
100	142	1270
101	143	1266
102	144	1262
103	146	1258
104	147	1255
105	148	1251
106	149	1250
107	150	1242
108	151	1239
109	152	1236
110	153	1233
111	155	1230
112	156	1227
113	157	1223
114	158	1219
115	159	1217
116	160	1214
117	162	1211
118	163	1208
119	164	1205
120	165	1202
121	166	1200
122	167	1197
123	169	1195
124	170	1192
125	171	1190
126	172	1187
127	173	1184
128	175	1182
129	176	1179
130	177	1177
131	178	1174
132	179	1172
133	181	1170
134	182	1168
135	183	1165
136	184	1162
137	185	1160
138	186	1157
139	188	1154
140	189	1152
141	190	1149
142	191	1147
143	192	1144
144	193	1141
145	194	1140
146	196	1137
147	197	1135
148	198	1132
149	199	1130
150	200	1127
151	201	1125
152	202	1122
153	203	1120
154	205	1118
155	206	1116
156	207	1114
157	208	1112
158	209	1110
159	211	1108
160	212	1106
161	213	1104
162	214	1102
163	215	1100
164	217	1099
165	218	1097
166	219	1095
167	220	1093
168	221	1091
169	223	1090
170	224	1088
171	225	1087
172	227	1085
173	228	1083
174	229	1082
175	230	1080
176	232	1079
177	233	1077
178	234	1075
179	235	1073
180	236	1072
181	238	1070
182	239	1068
183	240	1066
184	241	1064
185	242	1062
186	244	1061
187	245	1059
188	246	1058
189	247	1056
190	249	1054
191	250	1052
192	251	1050
193	252	1049
194	253	1047
195	254	1045
196	255	1043
197	257	1041
198	258	1039
199	259	1037
200	260	1036
201	261	1034
202	262	1032
203	264	1030
204	265	1028
205	266	1026
206	267	1024
207	268	1023
208	269	1021
209	271	1020
210	272	1018
211	273	1016
212	274	1014
213	275	1012
214	276	1011
215	278	1009
216	279	1007
217	280	1005
218	281	1003
219	282	1002
220	283	1000
221	284	998
222	286	996
223	287	995
224	288	993
225	289	991
226	290	990
227	292	988
228	293	987
229	294	985
230	295	983
231	296	981
232	297	980
233	298	978
234	300	976
235	301	975
236	302	973
237	303	971
238	304	970
239	305	968
240	307	967
241	308	965
242	309	963
243	310	961
244	311	960
245	312	958
246	313	956
247	314	955
248	316	953
249	317	951
250	318	950
251	319	948
252	320	946
253	321	945
254	323	943
255	324	942
256	325	941
257	326	939
258	327	938
259	329	937
260	330	935
261	331	933
262	332	932
263	334	931
264	335	929
265	336	928
266	337	926
267	338	924
268	339	923
269	341	922
270	342	920
271	343	919
272	344	917
273	345	916
274	346	914
275	348	913
276	349	911
277	350	910
278	351	908
279	352	907
280	353	905
281	355	904
282	356	902
283	357	901
284	358	899
285	359	898
286	360	896
287	362	895
288	363	893
289	364	892
290	365	890
291	366	889
292	368	888
293	369	886
294	370	885
295	371	883
296	372	882
297	373	880
298	375	879
299	376	877
300	377	876
301	378	874
302	379	873
303	380	871
304	381	870
305	383	868
306	384	867
307	385	865
308	386	864
309	387	863
310	388	861
311	389	859
312	391	858
313	392	857
314	393	855
315	394	854
316	395	852
317	397	851
318	398	850
319	399	848
320	400	847
321	401	845
322	402	844
323	404	843
324	405	841
325	406	840
326	407	838
327	408	837
328	409	836
329	411	834
330	412	833
331	413	831
332	414	830
333	415	828
334	416	827
335	417	825
336	419	824
337	420	823
338	421	821
339	422	820
340	423	819
341	424	817
342	426	816
343	427	814
344	428	813
345	429	811
346	430	810
347	431	808
348	432	807
349	434	806
350	435	804
351	436	803
352	437	801
353	438	800
354	439	799
355	441	797
356	442	796
357	443	795
358	444	793
359	445	792
360	446	791
361	448	789
362	449	788
363	450	786
364	451	785
365	452	784
366	453	782
367	455	781
368	456	780
369	457	779
370	458	777
371	459	776
372	461	775
373	462	773
374	463	772
375	464	771
376	466	770
377	467	768
378	468	767
379	469	766
380	470	764
381	471	763
382	473	762
383	474	760
384	475	759
385	476	757
386	477	756
387	478	755
388	480	754
389	481	752
390	482	751
391	483	750
392	484	748
393	485	747
394	487	745
395	488	744
396	489	743
397	490	741
398	491	740
399	492	739
400	493	737
401	495	736
402	496	735
403	497	733
404	498	732
405	499	730
406	500	729
407	501	728
408	503	726
409	504	725
410	505	724
411	506	722
412	507	721
413	508	720
414	510	718
415	511	717
416	512	716
417	513	715
418	514	713
419	515	712
420	517	711
421	518	709
422	519	708
423	520	707
424	521	705
425	522	704
426	524	703
427	525	702
428	526	700
429	527	699
